Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [Lucky Store],Price [Lucky Store],In stock [Lucky Store],Low stock [Lucky Store],Optimal stock [Lucky Store]
garlic-roshun,FRE-GARL-ROSH,Garlic - roshun,Fresh Produce,20KG Bag,N,,,,,,,137.00,,,,Y,,,0.00,Y,150.00,20.000,5.000,
ginger-ada,FRE-GING-ADAX,Ginger - ada,Fresh Produce,20KG Bag,N,,,,,,,105.00,,,,Y,,,0.00,Y,145.00,20.000,5.000,
glucose-350g,BEV-GLUC-GXXX-350G,Glucose 350g,Beverages,Powdered Drink 350g,N,,,,,,,117.00,,,,Y,,,0.00,Y,135.00,6.000,5.000,
glucose-mini,BEV-GLUC-MINI,Glucose mini,Beverages,Powdered Drink,N,,,,,,,110.00,,,,Y,,,0.00,Y,125.00,6.000,5.000,
go-handsome-facewash-men-100g,PER-GOXX-HAND-100G,Go & Handsome Facewash Men 100g,Personal Care,Facewash 100g,N,,,,,,,146.09,,,,Y,,,0.00,Y,168.00,2.000,5.000,
go-handsome-facewash-men-50g,PER-GOXX-HAND-50G,Go & Handsome Facewash Men 50g,Personal Care,Facewash 50g,N,,,,,,,146.09,,,,Y,,,0.00,Y,168.00,2.000,5.000,
go-handsome-skin-cream-men-25g,PER-GOXX-HAND-25G,Go & Handsome Skin Cream Men 25g,Personal Care,Cream 25g,N,,,,,,,112.00,,,,Y,,,0.00,Y,130.00,2.000,5.000,
go-handsome-skin-cream-men-50g,PER-GOXX-HAND-50G-1,Go & Handsome Skin Cream Men 50g,Personal Care,Cream 50g,N,,,,,,,92.89,,,,Y,,,0.00,Y,105.00,2.000,5.000,
godrej-black-hit-200ml,PES-GODR-BLAC-200ML,Godrej Black Hit (200ml),Pest Control,Aerosol 200ml,N,,,,,,,200.00,,,,Y,,,0.00,Y,225.00,1.000,5.000,
godrej-black-hit-lime-475ml,PES-GODR-BLAC-475ML,Godrej Black Hit/Lime (475ml),Pest Control,Aerosol 475ml,N,,,,,,,330.00,,,,Y,,,0.00,Y,415.00,1.000,5.000,
godrej-good-knight-power-activ-machine-refill,PES-GODR-GOOD,Godrej Good Knight Power Activ+ (Machine + Refill),Pest Control,Mosquito Killer,N,,,,,,,156.00,,,,Y,,,0.00,Y,180.00,3.000,5.000,
godrej-good-knigth-bullet-machine-refill,PES-GODR-GOOD-1,Godrej Good Knigth Bullet (Machine+Refill),Pest Control,Mosquito Killer,N,,,,,,,80.00,,,,Y,,,0.00,Y,95.00,3.000,5.000,
godrej-magic-handwash-refill,PER-GODR-MAGI,Godrej Magic Handwash Refill,Personal Care,Handwash Refill,N,,,,,,,25.00,,,,Y,,,0.00,Y,30.00,40.000,5.000,
godrej-powder-hair-dye-black-3g,PER-GODR-POWD-3G,Godrej Powder Hair Dye Black 3g,Personal Care,Hair Color Powder,N,,,,,,,10.83,,,,Y,,,0.00,Y,15.00,24.000,5.000,
godrej-red-hit-200ml,PES-GODR-REDX-200ML,Godrej Red HIT (200ml),Pest Control,Aerosol 200ml,N,,,,,,,175.00,,,,Y,,,0.00,Y,200.00,1.000,5.000,
godrej-red-hit-400ml,PES-GODR-REDX-400ML,Godrej Red Hit (400ml),Pest Control,Aerosol 400ml,N,,,,,,,310.00,,,,Y,,,0.00,Y,350.00,1.000,5.000,
godrej-soap,PER-GODR-SOAP,Godrej Soap,Personal Care,Soap,N,,,,,,,200.00,,,,Y,,,0.00,Y,230.00,2.000,5.000,
goodknight-refill-liquid-45ml,PES-GOOD-REFI-45ML,Goodknight Refill Liquid (45ml),Pest Control,45ml,N,,,,,,,107.00,,,,Y,,,0.00,Y,130.00,6.000,5.000,
hello-cookies-classic-pack,BIS-HELL-COOK,Hello Cookies - Classic Pack,Biscuits & Cookies,,N,,,,,,,8.00,,,,Y,,,0.00,Y,10.00,24.000,5.000,
hello-cookies-family-pack,BIS-HELL-COOK-1,Hello Cookies - Family Pack,Biscuits & Cookies,,N,,,,,,,42.00,,,,Y,,,0.00,Y,50.00,8.000,5.000,
honey-tea-bag-25g,TEA-HONE-TEAX-25G,Honey Tea Bag 25g,Tea & Coffee,Tea Bag 25g,N,,,,,,,139.34,,,,Y,,,0.00,Y,160.20,6.000,5.000,
horlicks-pouch-400g,BEV-HORL-POUC-400G,Horlicks Pouch 400g,Beverages,Powdered Drink 350g,N,,,,,,,327.10,,,,Y,,,0.00,Y,375.00,6.000,5.000,
isubgul,GRO-ISUB-PROD,Isubgul,Grocery,,N,,,,,,,74.00,,,,Y,,,0.00,Y,85.00,10.000,5.000,
jirashail-25kg-bashir,RIC-JIRA-KGXX-25KG-2,Jirashail 25KG (Bashir),Rice & Grain,25KG Bag,N,,,,,,,72.00,,,,Y,,,0.00,Y,82.00,50.000,5.000,
jirashail-25kg-nobanno,RIC-JIRA-KGXX-25KG,Jirashail 25KG (Nobanno),Rice & Grain,25KG Bag,N,,,,,,,2020.00,,,,Y,,,0.00,Y,2150.00,4.000,5.000,
jirashail-25kg-nobanno-1,RIC-JIRA-KGXX-25KG-1,Jirashail 25KG (Nobanno),Rice & Grain,25KG Bag,N,,,,,,,72.80,,,,Y,,,0.00,Y,84.00,50.000,5.000,
jirashail-50kg-nobanno,RIC-JIRA-KGXX-50KG,Jirashail 50KG (Nobanno),Rice & Grain,50KG Bag,N,,,,,,,4020.00,,,,Y,,,0.00,Y,4200.00,1.000,5.000,
